route_id;service_id;trip_id;trip_headsign;direction_id;block_id;wheelchair_accessible;bikes_allowed;route_short_names;Jours validité
7;TF2_BL-2-31;28569;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_VE-2-127;2857;Boulingrin ROUEN;1;;;;Métro;1111111
7;TF2_BL-2-31;28570;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28571;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28572;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28573;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28574;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28575;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28576;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28577;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28578;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28579;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_VE-2-127;2858;Boulingrin ROUEN;1;;;;Métro;1111111
7;TF2_BL-2-31;28580;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28581;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28582;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28583;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28584;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28585;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28586;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28587;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28588;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28589;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_VE-2-127;2859;Boulingrin ROUEN;1;;;;Métro;1111111
7;TF2_BL-2-31;28590;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
