service_id;date;exception_type
INT_VE-2-127;20240319;2
INT_VE-2-127;20240320;2
INT_VE-2-127;20240321;2
INT_VE-2-127;20240322;2
INT_VE-2-127;20240323;2
INT_VE-2-127;20240325;2
INT_VE-2-127;20240326;2
INT_VE-2-127;20240327;2
INT_VE-2-127;20240328;2
INT_VE-2-127;20240329;2
INT_VE-2-127;20240330;2
INT_VE-2-127;20240402;2
INT_VE-2-127;20240403;2
INT_VE-2-127;20240404;2
INT_VE-2-127;20240405;2
INT_VE-2-127;20240406;2
INT_VE-2-127;20240408;2
INT_VE-2-127;20240409;2
INT_VE-2-127;20240410;2
INT_VE-2-127;20240411;2
INT_VE-2-127;20240412;2
INT_VE-2-127;20240413;2
INT_VE-2-127;20240415;2
INT_VE-2-127;20240416;2
INT_VE-2-127;20240417;2
INT_VE-2-127;20240418;2
INT_VE-2-127;20240419;2
INT_VE-2-127;20240420;2
INT_VE-2-127;20240422;2
INT_VE-2-127;20240423;2
INT_VE-2-127;20240424;2
INT_VE-2-127;20240425;2
INT_VE-2-127;20240426;2
INT_VE-2-127;20240427;2
INT_VE-2-127;20240429;2
INT_VE-2-127;20240430;2
INT_VE-2-127;20240501;2
INT_VE-2-127;20240502;2
INT_VE-2-127;20240503;2
INT_VE-2-127;20240504;2
INT_VE-2-127;20240506;2
INT_VE-2-127;20240507;2
INT_VE-2-127;20240510;2
INT_VE-2-127;20240511;2
INT_VE-2-127;20240513;2
INT_VE-2-127;20240514;2
INT_VE-2-127;20240515;2
INT_VE-2-127;20240516;2
INT_VE-2-127;20240517;2
INT_VE-2-127;20240518;2
INT_VE-2-127;20240521;2
INT_VE-2-127;20240522;2
INT_VE-2-127;20240523;2
INT_VE-2-127;20240524;2
INT_VE-2-127;20240525;2
INT_VE-2-127;20240527;2
INT_VE-2-127;20240528;2
INT_VE-2-127;20240529;2
INT_VE-2-127;20240530;2
INT_VE-2-127;20240531;2
INT_VE-2-127;20240601;2
INT_VE-2-127;20240603;2
INT_VE-2-127;20240604;2
INT_VE-2-127;20240605;2
INT_VE-2-127;20240606;2
INT_VE-2-127;20240607;2
INT_VE-2-127;20240608;2
INT_VE-2-127;20240610;2
INT_VE-2-127;20240611;2
INT_VE-2-127;20240612;2
INT_VE-2-127;20240613;2
INT_VE-2-127;20240614;2
INT_VE-2-127;20240615;2
INT_VE-2-127;20240617;2
INT_VE-2-127;20240618;2
INT_VE-2-127;20240619;2
INT_VE-2-127;20240620;2
INT_VE-2-127;20240621;2
INT_VE-2-127;20240622;2
IST_BL-2-31;20231101;2
IST_BL-2-31;20231106;2
IST_BL-2-31;20231107;2
IST_BL-2-31;20231108;2
IST_BL-2-31;20231109;2
IST_BL-2-31;20231110;2
IST_BL-2-31;20231113;2
IST_BL-2-31;20231114;2
IST_BL-2-31;20231115;2
IST_BL-2-31;20231116;2
IST_BL-2-31;20231117;2
IST_BL-2-31;20231120;2
IST_BL-2-31;20231121;2
IST_BL-2-31;20231122;2
IST_BL-2-31;20231123;2
IST_BL-2-31;20231124;2
IST_BL-2-31;20231127;2
IST_BL-2-31;20231128;2
IST_BL-2-31;20231129;2
IST_BL-2-31;20231130;2
IST_BL-2-31;20231201;2
IST_BL-2-31;20231204;2
IST_BL-2-31;20231205;2
IST_BL-2-31;20231206;2
IST_BL-2-31;20231207;2
IST_BL-2-31;20231208;2
IST_BL-2-31;20231211;2
IST_BL-2-31;20231212;2
IST_BL-2-31;20231213;2
IST_BL-2-31;20231214;2
IST_BL-2-31;20231215;2
IST_BL-2-31;20231218;2
IST_BL-2-31;20231219;2
IST_BL-2-31;20231220;2
IST_BL-2-31;20231221;2
IST_BL-2-31;20231222;2
IST_BL-2-31;20231225;2
IST_BL-2-31;20231226;2
IST_BL-2-31;20231227;2
IST_BL-2-31;20231228;2
IST_BL-2-31;20231229;2
IST_BL-2-31;20240101;2
IST_BL-2-31;20240108;2
IST_BL-2-31;20240109;2
IST_BL-2-31;20240110;2
IST_BL-2-31;20240111;2
IST_BL-2-31;20240112;2
IST_BL-2-31;20240115;2
IST_BL-2-31;20240116;2
IST_BL-2-31;20240117;2
IST_BL-2-31;20240118;2
IST_BL-2-31;20240119;2
IST_BL-2-31;20240122;2
IST_BL-2-31;20240123;2
IST_BL-2-31;20240124;2
IST_BL-2-31;20240125;2
IST_BL-2-31;20240126;2
IST_BL-2-31;20240129;2
IST_BL-2-31;20240130;2
IST_BL-2-31;20240131;2
IST_BL-2-31;20240201;2
IST_BL-2-31;20240202;2
IST_BL-2-31;20240205;2
IST_BL-2-31;20240206;2
IST_BL-2-31;20240207;2
IST_BL-2-31;20240208;2
IST_BL-2-31;20240209;2
IST_BL-2-31;20240212;2
IST_BL-2-31;20240213;2
