stop_id;stop_name;stop_lat;stop_lon
5041;FREDERIC MISTRAL;49.309009;1.026087
5042;FREDERIC MISTRAL;49.309338;1.027286
5051;BRULINS;49.307279;1.025752
5052;BRULINS;49.307241;1.025758
5061;LES FEUGRAIS;49.305149;1.027046
5062;LES FEUGRAIS;49.305865;1.026048
5071;CLEON LES FLEURS;49.304413;1.025989
5072;CLEON LES FLEURS;49.304414;1.026104
5081;LECENE;49.302964;1.021796
5082;LECENE;49.303088;1.02233
5101;ESPACE DES FOUDRIOTS;49.302332;1.013279
5102;ESPACE DES FOUDRIOTS;49.302505;1.013977
5151;MAIRIE ST AUBIN;49.29859;1.011416
5152;MAIRIE ST AUBIN;49.299154;1.011685
5161;GANTOIS;49.298966;1.014405
5162;GANTOIS;49.299172;1.014319
6031;ECOLE DE LA LONDE;49.3054;0.9623
6032;ECOLE DE LA LONDE;49.30544;0.9619
6041;PL. DE L OURAIL;49.306454;0.956511
6042;PL. DE L OURAIL;49.306462;0.956223
6061;MAIRIE DE LA LONDE;49.306966;0.952223
6062;MAIRE DE LA LONDE;49.30691;0.95225
6081;LA LONDE CALVAIRE;49.302597;0.951675
6082;LA LONDE CALVAIRE;49.302507;0.951543
6091;EGLISE DE LA LONDE;49.30055;0.954083
6092;EGLISE DE LA LONDE;49.30055;0.954083
6131;GRIFEUIL;49.293169;0.97179
6132;GRIFEUIL;49.29335;0.97175
7001;TEINTURIERS;49.297282;0.994501
7002;TEINTURIERS;49.297704;0.993973
7011;ABATTOIRS;49.301178;0.992528
7012;ABATTOIRS;49.300926;0.992517
7021;EGLISE D ORIVAL;49.304558;0.992709
7022;EGLISE D ORIVAL;49.305194;0.992757
7031;PLACE DU MANS;49.310673;0.996083
7032;PLACE DU MANS;49.311;0.99605
7051;ROCHE FOUET;49.319368;1.007345
7052;ROCHE FOUET;49.319257;1.007072
7061;LES GROTTES;49.320626;1.009973
7062;LES GROTTES;49.320649;1.009864
7071;LONCHEUX;49.322547;1.015649
7072;LONCHEUX;49.322456;1.015082
7081;ORIVAL LES ROCHES;49.324688;1.025618
7082;ORIVAL LES ROCHES;49.324686;1.025367
7091;NOUVEAU MONDE;49.318113;0.99401
7092;NOUVEAU MONDE;49.318116;0.993828
7111;PERIGA;49.323744;1.020919
7112;PERIGA;49.32371;1.020507
8011;HIPPODROME DES BRULINS;49.304687;1.018708
8012;HIPPODROME DES BRULINS;49.304775;1.018695
8013;HIPPODROME DES BRULINS;49.30397;1.018168
8014;HIPPODROME DES BRULINS;49.304232;1.018546
8021;LE CARPENTIER;49.310023;1.025175
8022;LE CARPENTIER;49.310191;1.025259
8031;CHENE FOURCHE;49.312383;1.027043
8032;CHENE FOURCHE;49.312567;1.027046
8041;RESISTANCE;49.314811;1.032359
8042;RESISTANCE;49.314894;1.031973
8051;CLEON R.N.U.R.;49.320276;1.046211
8052;CLEON R.N.U.R.;49.320397;1.046379
8061;LA SEINE;49.323805;1.055071
8062;LA SEINE;49.323875;1.055173
8071;BEDANNE;49.324378;1.058961
8072;BEDANNE;49.324507;1.059206
8081;J.B. CLEMENT;49.326081;1.066783
8082;J.B. CLEMENT;49.326139;1.066831
8091;E. COTTON;49.327174;1.072457
8092;E. COTTON;49.327143;1.072026
8101;LE SAULE;49.32853;1.07917
8102;LE SAULE;49.32832;1.07844
8111;MARCHE;49.3318;1.093717
